renter_id,age,household_size,income,credit_score,budget_min,budget_max,desired_beds,desired_baths,desired_sqft_min,has_cats,has_dogs,is_smoker,needs_wheelchair,has_ev,wants_furnished,pref_lat,pref_lon,max_distance_km,laundry_pref,parking_pref,move_urgency,type_pref_apartment,type_pref_house,type_pref_condo,type_pref_townhouse,type_pref_duplex,type_pref_loft,type_pref_cottage_cabin,type_pref_manufactured,type_pref_flat,type_pref_in-law,type_pref_assisted_living,type_pref_land
0,22,2,39292.0,522.0,658.0,1222.0,1.0,1.0,490.0,0,1,0,0,0,0,38.973,-76.8916,11.0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1,58,1,64329.0,588.0,1091.0,2025.0,2.0,1.0,1020.0,0,0,0,1,0,0,35.0537,-78.6635,35.7,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2,52,2,78939.0,567.0,1582.0,2937.0,2.0,1.5,1210.0,0,0,0,0,0,0,39.2474,-77.3435,17.4,5,7,1,0,0,0,0,0,0,0,1,0,0,0,0
3,40,4,93540.0,618.0,1500.0,2786.0,5.0,3.0,1216.0,0,1,0,0,0,0,40.7964,-89.3516,25.1,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0
4,40,2,76402.0,609.0,1735.0,3222.0,2.0,1.5,1142.0,1,0,0,0,0,0,27.6524,-82.0548,20.9,4,4,1,0,0,1,1,0,0,0,0,1,0,0,0
5,62,1,68512.0,626.0,1171.0,2175.0,2.0,1.5,1036.0,1,0,0,0,0,0,34.0134,-84.2333,45.3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
6,22,2,48460.0,515.0,1115.0,2071.0,3.0,2.0,1422.0,0,1,0,0,0,0,36.3929,94.0606,25.8,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,54,5,90437.0,565.0,1654.0,3072.0,4.0,2.5,1396.0,0,0,0,0,0,0,38.8244,-77.4922,36.4,5,6,1,1,0,0,0,0,0,1,0,0,0,0,0
8,28,2,49760.0,547.0,1044.0,1940.0,2.0,1.5,1365.0,1,1,1,0,0,0,33.8149,-112.3341,52.7,0,5,1,1,0,0,0,0,1,0,0,0,0,1,0
9,22,2,37225.0,535.0,764.0,1418.0,1.0,1.0,1086.0,0,1,0,0,0,0,40.7307,-74.0213,20.4,2,4,1,0,0,0,1,1,0,0,0,0,0,0,1
10,45,1,55858.0,580.0,952.0,1768.0,2.0,1.0,637.0,0,0,0,0,0,1,33.7659,-84.2995,40.2,5,5,2,0,0,0,0,1,0,1,0,0,0,1,0
11,68,2,77555.0,580.0,1432.0,2659.0,3.0,2.0,1038.0,0,1,0,0,0,0,33.9027,-116.4394,56.2,5,4,2,0,0,0,1,0,0,0,0,0,0,0,1
12,56,4,113539.0,632.0,1884.0,3498.0,3.0,2.5,808.0,0,0,0,0,0,0,27.9909,-82.618,43.8,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0
